time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z
1592262556.73049,-0.31,9.77,0.67,-0.4622222222222222,-0.6322222222222222,-0.15777777777777777,0.007635815477475192,-0.03381575425739013,-0.007635815477475192
1592262556.74049,-0.33,9.78605339540765,0.6176262321464494,-0.4622222222222222,-0.6322222222222222,-0.15777777777777777,0.005784315414946649,-0.022548162252806876,-0.013549599844679516
1592262556.75049,-0.36326684230334966,9.787524934136243,0.5407917764395935,-0.4622222222222222,-0.6322222222222222,-0.15777777777777777,0.0033697413281456898,-0.0073767072435259725,-0.020542166475459932
1592262556.76049,-0.40683278105851645,9.760498343175549,0.6111738462392862,-0.4622222222222222,-0.6322222222222222,-0.15777777777777777,-0.002127300757379286,0.003909111523130962,-0.02181661564992912
1592262556.77049,-0.3950168316831683,9.741661056105611,0.7066442244224422,-0.4622222222222222,-0.6311148514851486,-0.15685496883021635,-0.005269288695712666,0.00781700859062056,-0.022179001876219854
1592262556.78049,-0.38516792868999705,9.75,0.7437919821724992,-0.4622222222222222,-0.6255555555555555,-0.15222222222222223,-0.007749271602248114,0.007485722995839654,-0.02606648265514202
1592262556.79049,-0.3850531824266764,9.767819155409518,0.6822872094438359,-0.4622222222222222,-0.6255555555555555,-0.15222222222222223,-8.703281745219352e-05,1.1602605621295614e-05,-0.0321737067808348
1592262556.80049,-0.3363924124287211,9.792784824857442,0.5888607005702317,-0.4622222222222222,-0.6255555555555555,-0.15222222222222223,0.0072422887201449215,-0.012965691101110266,-0.03905588039153085
1592262556.81049,-0.32194757040360406,9.782684143198798,0.6534207159939932,-0.4622222222222222,-0.6255555555555555,-0.15222222222222223,0.005666600887215316,-0.017958534097264136,-0.04517755194065204
1592262556.82049,-0.3037400640421925,9.789064983989451,0.697480128084385,-0.46284556622925427,-0.6250361022163621,-0.15087164354031937,0.0033744867721326602,-0.015444511915657204,-0.05297184410768964
1592262556.8304899,-0.34,9.78,0.77,-0.4688888888888889,-0.62,-0.13777777777777778,0.004363323129985824,-0.006544984694978735,-0.05890486225480862
1592262556.8404899,-0.575680300865864,9.684947669164163,0.7897906766566573,-0.4688888888888889,-0.62,-0.13777777777777778,0.01803866677181386,0.0024800570995885283,-0.06464599488456585
1592262556.8504899,-0.77,9.67,0.73,-0.4688888888888889,-0.62,-0.13777777777777778,0.02945243112740431,0.009817477042468103,-0.06872233929727672
1592262556.8604898,-0.7566608530887324,9.654907305729603,0.7562900760071486,-0.4688888888888889,-0.62,-0.13777777777777778,0.048531858444741394,-0.007032468123928501,-0.04416116023421159
1592262556.8704898,-0.36173253975634706,9.77,0.8119554232927245,-0.46997523516262474,-0.6223899618022188,-0.13777777777777778,0.06385947051647035,-0.035522182993801714,-0.020939088459484112
1592262556.8804898,-0.41,9.77,0.82,-0.47444444444444445,-0.6322222222222222,-0.13777777777777778,0.07526732399225547,-0.042542400517361786,-0.02181661564992912
1592262556.8904898,-0.44276530527711044,9.715075801507746,0.8078411067848562,-0.47444444444444445,-0.6322222222222222,-0.13777777777777778,0.09592695956528108,-0.03869968679322154,-0.030526724586299007
1592262556.9004898,-0.4146275432991424,9.671854236229551,0.7787004251843667,-0.47444444444444445,-0.6322222222222222,-0.13777777777777778,0.11752620126700725,-0.0444007879378002,-0.03650220249018702
1592262556.9104898,-0.46,9.62,0.85,-0.47444444444444445,-0.6322222222222222,-0.13777777777777778,0.13308135546456762,-0.04581489286485115,-0.04145156973486533
1592262556.9204898,-0.43230493128536784,9.67128051738076,0.8679511721907841,-0.47398914937572983,-0.631909206862481,-0.1381477050211084,0.16538592548966308,-0.04447263308259286,-0.04159125251251079
1592262556.9304898,-0.5060911553409493,9.73947238252267,0.7594005417500884,-0.45666666666666667,-0.62,-0.15222222222222223,0.19605393354391815,-0.03308592153152011,-0.045995391893164365
1592262556.9404898,-0.4471648012935499,9.798563199514918,0.591513605012506,-0.45666666666666667,-0.62,-0.15222222222222223,0.2085054100765663,-0.028050233623990117,-0.04643553178811787
1592262556.9504898,-0.39654292899054006,9.82981439348581,0.3470997485331098,-0.45666666666666667,-0.62,-0.15222222222222223,0.20473957222171627,-0.02548646247476901,-0.0555918768474972
1592262556.9604897,-0.3505720682899524,9.881005877413937,0.2870808844108592,-0.45666666666666667,-0.62,-0.15222222222222223,0.19813962683035555,-0.023789575305346162,-0.06253235545141271
1592262556.9704897,-0.1688963796939257,9.968519517292524,0.244818310523832,-0.4575714060990135,-0.6209047394323468,-0.1515642299077882,0.18536195603501363,-0.028564205266756282,-0.07102438716247504
