time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z
1592170797.1241274,-0.07,8.31,5.109226493747105,-0.3331123462508363,-0.14977901291750295,-0.3214180433328187,0.013005592946846351,-0.02493844299540809,0.021581574204807604
1592170797.1341274,-0.08621828470708288,8.301890857646459,5.079454288232293,-0.33,-0.14666666666666667,-0.3233333333333333,0.01948822143178719,-0.01869085595558877,0.02358575606970687
1592170797.1441274,-0.0820846119609267,8.292084611960925,4.959184567452974,-0.33,-0.14666666666666667,-0.3233333333333333,0.027633264010172992,-0.01399955294857313,0.026588581893449655
1592170797.1541274,-0.11198373905047669,8.337975608575714,4.977975608575715,-0.33,-0.14666666666666667,-0.3233333333333333,0.0364302005465231,-0.01396219056734732,0.025526327207631698
1592170797.1641273,-0.12654056154668222,8.356540561546682,4.9965405615466825,-0.33,-0.14666666666666667,-0.3233333333333333,0.042459864909336106,-0.013467335585460568,0.025089107997418484
1592170797.1741273,-0.17458625785001847,8.33770687107499,5.0445862578500185,-0.3407337287416711,-0.16648278126667487,-0.3233333333333333,0.036618051659167296,-0.01795357564386991,0.025089107997418484
1592170797.1841273,-0.2495168397511127,8.33,5.089758419875556,-0.34444444444444444,-0.17333333333333334,-0.3233333333333333,0.02894654419158345,-0.02206955911783955,0.02995831806322517
1592170797.1941273,-0.09094149604079646,8.337785152346052,5.037718781231581,-0.34444444444444444,-0.17333333333333334,-0.3233333333333333,0.032366139857710426,-0.028002816727724603,0.04097560490044544
1592170797.2041273,0.08093424427446264,8.324883219465692,5.0124416097328455,-0.34444444444444444,-0.17333333333333334,-0.3233333333333333,0.04370966398082986,-0.03852184837389072,0.05517612597720458
1592170797.2141273,0.16725969864911672,8.326751385521302,5.003248614478697,-0.34444444444444444,-0.17333333333333334,-0.3233333333333333,0.052797418968257626,-0.03703279824418281,0.05964132416992238
1592170797.2241273,0.13769514563106797,8.33,5.034869902912622,-0.34928748651564184,-0.15008673139158576,-0.3155844660194175,0.062288873516275545,-0.013986145126023978,0.04858454399338002
1592170797.2341273,0.09703873082682424,8.340987089724392,5.01253227568902,-0.35,-0.14666666666666667,-0.31444444444444447,0.06626444930514876,-0.001320263279830789,0.036718426318142976
1592170797.2441273,0.040261830642631335,8.357434542339341,4.8933509495885525,-0.35,-0.14666666666666667,-0.31444444444444447,0.07439921864354608,0.015465795096259147,0.01862980717987468
1592170797.2541273,0.03,8.374705302211995,4.8379420466820084,-0.35,-0.14666666666666667,-0.31444444444444447,0.08117045367037898,0.01694002367056406,0.007251132795571942
1592170797.2641273,-0.0329718328262371,8.414348272450674,4.83,-0.35,-0.14666666666666667,-0.31444444444444447,0.08415207790022303,0.01511352330695447,-0.003130307452968383
1592170797.2741272,-0.11380024144297685,8.44,4.863800241442977,-0.346244417617447,-0.14666666666666667,-0.3242089586390822,0.07918554602323372,0.011231172666709002,-0.011676273765716574
1592170797.2841272,-0.13,8.416645871385535,4.88,-0.34444444444444444,-0.14666666666666667,-0.3288888888888889,0.059374553180725445,0.00047649616575354617,-0.01563750962906144
1592170797.2941272,-0.13,8.38750103510144,4.8125031053043195,-0.34444444444444444,-0.14666666666666667,-0.3288888888888889,0.03899791558390697,-0.012816772408777422,-0.011453949040315527
1592170797.3041272,-0.07353571834185121,8.394116070414539,4.832348211243612,-0.34444444444444444,-0.14666666666666667,-0.3288888888888889,0.026886544396161026,-0.03099079366670828,-0.00904756483566487
1592170797.3141272,-0.06163456136126495,8.4,4.908172806806324,-0.34444444444444444,-0.14666666666666667,-0.3288888888888889,0.02082544279649411,-0.04279934855804976,-0.00745751249260048
1592170797.3241272,-0.042282326666009784,8.379211744999507,4.9777176733339905,-0.34829412129638754,-0.15205621425938698,-0.3250392120369458,0.01174118276176277,-0.04690572364734761,-0.0035214555657889666
1592170797.3341272,0.006429273962804009,8.348142435622318,4.99,-0.35,-0.15444444444444444,-0.3233333333333333,0.006342355854614252,-0.04690572364734761,0.0009973923088169492
1592170797.3441272,0.04845507495464528,8.34711376873866,4.947317387568032,-0.35,-0.15444444444444444,-0.3233333333333333,0.010886096456267206,-0.04224977289553196,0.0014056697730236364
1592170797.3541272,0.05297203126471419,8.357027968735284,4.972167812411715,-0.35,-0.15444444444444444,-0.3233333333333333,0.023822823878778897,-0.03499431170795816,-0.0004424341444780333
1592170797.3641272,0.05584125276432969,8.35415874723567,4.99584125276433,-0.35,-0.15444444444444444,-0.3233333333333333,0.03600778233331586,-0.02826465064832234,-0.0055511036090677935
1592170797.3741271,0.01010006513115045,8.374949967434425,4.987525016282788,-0.34237639883948134,-0.15860277235018191,-0.3177888961256834,0.053018451547261064,-0.015563440622504351,-0.012809075134934848
1592170797.3841271,-0.02656059245960503,8.39,4.947197037701975,-0.3377777777777778,-0.16111111111111112,-0.31444444444444447,0.05999569303730508,-0.009817477042468103,-0.015271630954950384
1592170797.3941271,-0.050042418613990614,8.383319193795337,4.863191937953364,-0.3377777777777778,-0.16111111111111112,-0.31444444444444447,0.06145321884929314,-0.0054448996065039204,-0.015271630954950384
1592170797.4041271,-0.06,8.393968045524185,4.8160319544758154,-0.3377777777777778,-0.16111111111111112,-0.31444444444444447,0.06522470940811649,-0.008605363257671757,-0.011462437447677248
1592170797.414127,-0.06,8.417142111065978,4.787143851912028,-0.3377777777777778,-0.16111111111111112,-0.31444444444444447,0.06404745874191821,-0.013401526815330161,-0.007324258052102502
1592170797.424127,-0.04081981516189491,8.436393394946034,4.77,-0.345591927156265,-0.16466299719224167,-0.31444444444444447,0.04962395298107189,-0.017363864558488065,-0.0033619203089445965
1592170797.434127,-0.022695994684889902,8.44730400531511,4.77730400531511,-0.35,-0.16666666666666666,-0.31444444444444447,0.02740427623420612,-0.020137610069087715,-0.002181661564992912
1592170797.444127,-0.05468570650817775,8.456937141301635,4.773062858698364,-0.35,-0.16666666666666666,-0.31444444444444447,0.008952295283531414,-0.019969060139997503,-0.0029383862924280708
1592170797.454127,-0.09702682156177987,8.412703062266885,4.844323759294895,-0.35,-0.16666666666666666,-0.31444444444444447,-0.0063090565491148685,-0.026268334090277602,-0.0010613656790422364
1592170797.464127,-0.09938045457104784,8.368760909142095,4.917168409001333,-0.35,-0.16666666666666666,-0.31444444444444447,-0.01264592688246764,-0.0335068755949115,0.005792063525010273
1592170797.474127,-0.05408389534267857,8.35,4.9859161046573215,-0.35,-0.16666666666666666,-0.3197653488381217,-0.0076510680811921715,-0.034476353768374796,0.014826147079721613
1592170797.484127,-0.03,8.35,4.968580750039512,-0.35,-0.16666666666666666,-0.3233333333333333,0.009528902291875186,-0.02820678419041207,0.0197123621621841
1592170797.494127,-0.023434207159638065,8.356565792840362,4.904039450117466,-0.35,-0.16666666666666666,-0.3233333333333333,0.026731101261769002,-0.02403128809738645,0.01857713418490417
1592170797.504127,-0.03894358998187816,8.366314529993959,4.911572649969797,-0.35,-0.16666666666666666,-0.3233333333333333,0.03685777369153852,-0.018774596215780738,0.014009250672739264
1592170797.514127,-0.14022578295702842,8.355753823743626,4.958492352512746,-0.35,-0.16666666666666666,-0.3233333333333333,0.04393195844786892,-0.013772433805226556,0.0037110492243561145
1592170797.524127,-0.26346441746355787,8.354078650478135,4.980614233014577,-0.35312858899514105,-0.16666666666666666,-0.3233333333333333,0.05778992622562328,-0.017051277951987687,-0.0049422397352303525
1592170797.534127,-0.2577129457696519,8.395829643384278,4.9183407132314425,-0.3566666666666667,-0.16666666666666666,-0.3233333333333333,0.07326666253567564,-0.03738176801454854,-0.0015457461195381387
1592170797.544127,-0.27734578407470445,8.416224297345783,4.765514053084319,-0.3566666666666667,-0.16666666666666666,-0.3233333333333333,0.07160539617381734,-0.059661303399577655,-0.004752758600934579
1592170797.554127,-0.3530197055845471,8.459764779188411,4.670117610405795,-0.3566666666666667,-0.16666666666666666,-0.3233333333333333,0.05787817799780362,-0.08824182963632832,-0.014142312257159053
1592170797.564127,-0.38,8.491524270105678,4.66,-0.3566666666666667,-0.16666666666666666,-0.3233333333333333,0.039160297553898826,-0.11640276186144297,-0.024367358237335754
1592170797.574127,-0.3863262867647059,8.506326286764706,4.678978860294118,-0.3489345383986928,-0.16666666666666666,-0.3233333333333333,0.010819978604433365,-0.14499086146912865,-0.036353339469245405
1592170797.584127,-0.3804210864673738,8.50616843458695,4.697663130826101,-0.34444444444444444,-0.16666666666666666,-0.3233333333333333,-0.006478363721441504,-0.15756877087993407,-0.04203257475145055
1592170797.594127,-0.29567246413609244,8.434590580170116,4.757704709914942,-0.34444444444444444,-0.16666666666666666,-0.3233333333333333,-0.04771748343925286,-0.18129959351972846,-0.05090065423606174
1592170797.604127,-0.17888065022101812,8.366823042920291,4.8437366319692,-0.34444444444444444,-0.16666666666666666,-0.3233333333333333,-0.05827280879912997,-0.18825494804506906,-0.04856755682575801
1592170797.614127,-0.0645794198321004,8.344961765439281,4.940382345607182,-0.34444444444444444,-0.16666666666666666,-0.3233333333333333,-0.049570239449908876,-0.183217864023618,-0.04856282353898558
1592170797.624127,-0.04038279121396616,8.333923441757207,5.044689024185139,-0.34444444444444444,-0.16329080097622597,-0.31793194822862825,-0.03283452391713247,-0.1592456265548823,-0.05723469388191772
1592170797.634127,-0.0863186288749637,8.33,5.095791177324978,-0.34444444444444444,-0.16111111111111112,-0.31444444444444447,-0.023251485688223935,-0.1383623127727493,-0.061373615525100636
1592170797.644127,-0.22762778639148007,8.323852019418956,5.103112116513738,-0.34444444444444444,-0.16111111111111112,-0.31444444444444447,0.003425596268922545,-0.09735102585644857,-0.05614158878110442
1592170797.654127,-0.3064239581208784,8.32,5.092141319373626,-0.34444444444444444,-0.16111111111111112,-0.31444444444444447,0.03494277549619621,-0.07534675017813171,-0.04044016513824511
1592170797.6641269,-0.3643240927118002,8.354324092711801,5.070579349104171,-0.34444444444444444,-0.16111111111111112,-0.31444444444444447,0.0635292134495539,-0.06442221335095508,-0.020422625346897094
1592170797.6741269,-0.422316894448042,8.401158447224022,5.017683105551958,-0.3475440131177836,-0.1573916287031041,-0.31444444444444447,0.08949459628488664,-0.056826331618913054,0.0014931678101429806
1592170797.6841269,-0.5302319751710967,8.390192981060004,4.982393760942225,-0.35,-0.15444444444444444,-0.31444444444444447,0.10081551670981023,-0.0572917938479688,0.010167053324587571
1592170797.6941268,-1.003833849739149,8.343666746113716,4.896333253886285,-0.35,-0.15444444444444444,-0.31444444444444447,0.1334086826962741,-0.08381220845345409,0.021725734750542614
1592170797.7041268,-1.0725316966809335,8.381616328837923,4.846854962448518,-0.35,-0.15444444444444444,-0.31444444444444447,0.14865782530531538,-0.0942926003055969,0.022564376055099204
1592170797.7141268,-0.8138350910834132,8.568767976989454,4.5821907957814,-0.35,-0.15444444444444444,-0.31444444444444447,0.1360997041110535,-0.1228606998347051,0.007008300166355465
