time,x,y,z,q,x,y,z
1592353496.486109,0.0,0.0,0.0,0.5210083607356437,0.464071823900043,-0.481072389888157,-0.5308074535785479
1592353496.496109,7.09032242960287e-05,6.9675610930077396e-06,-6.204642066470977e-06,0.521383426826615,0.46382072116764483,-0.4807140090974555,-0.5309836777578607
1592353496.506109,0.00012367461254361435,1.1300394135905113e-05,-1.047105188786365e-05,0.5216988309811972,0.4635918962477489,-0.48036210150760056,-0.5311919972737553
1592353496.516109,0.00016199871433435559,1.4988695652192932e-05,-1.2809084331878278e-05,0.521963660648033,0.46335746493636093,-0.480066460261209,-0.5314037815572752
1592353496.526109,0.00018780087435495474,1.897369003781199e-05,-1.4769019111802666e-05,0.5221731403599935,0.463137518296529,-0.47985098416218125,-0.5315841403599935
1592353496.536109,0.00020593388095362233,2.2252507052086258e-05,-1.6740023068862483e-05,0.5223513029150676,0.4629492862977177,-0.47965918897467924,-0.5317460758279777
1592353496.546109,0.0002201735364713535,2.6449062424411323e-05,-1.82465676949669e-05,0.5226051220374252,0.46281905327378575,-0.47943072893662675,-0.5318154308847305
1592353496.556109,0.00022808573069603056,2.9545930018969848e-05,-1.8712743042268867e-05,0.5229730579112409,0.462774,-0.47917749507913243,-0.5317223966689512
1592353496.566109,0.00023112479656083008,3.1117127479234377e-05,-1.9272924355574567e-05,0.5233747460966973,0.4628190635088251,-0.47892384122793724,-0.5315150951972388
1592353496.576109,0.000231695437241456,3.171026799292871e-05,-1.9277960904448643e-05,0.5236812921194973,0.46292555811125974,-0.4787117230906659,-0.5313120347129178
1592353496.586109,0.000231695437241456,3.171026799292871e-05,-1.9277960904448643e-05,0.5237519492860817,0.46310083691413145,-0.4786407572400426,-0.5311548478582451
1592353496.596109,0.00023037715418182291,3.06846006118472e-05,-1.926993611905551e-05,0.523648604267522,0.4632345698630903,-0.4787334093784255,-0.5310561468387173
1592353496.606109,0.000226792106815393,3.0615158370268984e-05,-1.9276610515033757e-05,0.5234533635475664,0.4633337777287127,-0.47894517810070086,-0.5309712222712872
1592353496.616109,0.0002211724375833038,2.9506173290094444e-05,-1.9276593756212084e-05,0.5232157693432957,0.46342791071521805,-0.47921317649025513,-0.5308804985110501
1592353496.626109,0.00021648119506707147,2.9415304087314945e-05,-1.928532759065916e-05,0.5229758596750282,0.4635611633006636,-0.4794739543574689,-0.5307651390895614
1592353496.6361089,0.00021350984663859568,2.9347232090855878e-05,-2.0290806270037287e-05,0.5227926844104241,0.4637127499065916,-0.4796942776739907,-0.530614573340828
1592353496.6461089,0.00021153624437914638,2.930900348440472e-05,-2.0294480587734308e-05,0.522680090585203,0.4639015056068466,-0.4799033584277831,-0.5303709170657238
1592353496.6561089,0.00021074349014279202,2.9121900504998353e-05,-2.0294156968019006e-05,0.522621302738994,0.4640734855655532,-0.48006004071028835,-0.5301360903040645
1592353496.6661088,0.00021061384073769893,2.8291004273749463e-05,-2.028571878111759e-05,0.5225293837641433,0.4642649872521553,-0.480116,-0.5300092316896776
1592353496.6761088,0.0002097620182036539,2.8154812240737924e-05,-2.028605054781728e-05,0.5223879897685223,0.4644349757321829,-0.48013890673359333,-0.5299785638828507
1592353496.6861088,0.00020978111323912313,2.7264225005077116e-05,-2.1276736847698743e-05,0.5221886045934149,0.4645647460924631,-0.4802594588834694,-0.5299524079107032
1592353496.6961088,0.00020978111323912313,2.7264225005077116e-05,-2.1276736847698743e-05,0.5219704256167027,0.46460725608735476,-0.4804754247001182,-0.529934299366358
1592353496.7061088,0.00020978111323912313,2.7264225005077116e-05,-2.1276736847698743e-05,0.5217630468502045,0.46457414607716757,-0.4806590243100316,-0.5299999606631864
1592353496.7161088,0.00021080003239155778,2.7283961433274576e-05,-2.127483989371235e-05,0.5216195890909907,0.46452265598315506,-0.48080751602526745,-0.5300522484566103
1592353496.7261088,0.00021574960975281337,2.6396172560564497e-05,-2.1255318604876692e-05,0.521574049404281,0.46442503748990166,-0.4808796871062201,-0.5301173412762529
1592353496.7361088,0.000227520163414403,2.5639992836659707e-05,-2.218065552393466e-05,0.5216499178827585,0.46431008211724156,-0.4808472747656581,-0.5301730651718508
1592353496.7461088,0.000247053394412734,2.3039826290729907e-05,-2.3081088932251694e-05,0.5218130677532518,0.4642195779338055,-0.4806878267301996,-0.5302356456870573
1592353496.7561088,0.00027355879195826077,1.865841824414255e-05,-2.4954545094426507e-05,0.5219928542850449,0.46413092201090433,-0.48045556490394864,-0.5303479661370702
1592353496.7661088,0.00030482125433637633,1.4295990105073835e-05,-2.768137879312622e-05,0.5221034090706,0.46400480912421593,-0.48025257731456394,-0.5305335772252041
1592353496.7761087,0.00034378784751161684,1.1923222048179945e-05,-2.968118438671965e-05,0.5222079095240904,0.46381391185755905,-0.48007884957938596,-0.530754343137833
1592353496.7861087,0.00039215446298236585,1.1661439103372023e-05,-3.3368110787151855e-05,0.5223530878931049,0.4635978212555616,-0.4799273268543536,-0.5309368265366882
1592353496.7961087,0.00044865995244458134,1.2714427517867814e-05,-3.721065460615826e-05,0.5225877682107213,0.4633680180893863,-0.47970928219935405,-0.5311029879404091
1592353496.8061087,0.0005042922329668802,1.2739852539874018e-05,-4.2044291830722164e-05,0.5229255518515127,0.46314932787441737,-0.47938621143938065,-0.531253536689677
1592353496.8161087,0.0005583450709774635,1.2734683812793448e-05,-4.688086984860019e-05,0.5233704185967812,0.4629783913149806,-0.47897375034336875,-0.5313372708047193
1592353496.8261087,0.0006024160284086612,1.2827998608886383e-05,-5.145031542974654e-05,0.523897436764246,0.46284448045551346,-0.4785280129510581,-0.5313361550284696
1592353496.8361087,0.0006307619990065953,1.1683604183972788e-05,-5.4616692804177044e-05,0.5244213046930771,0.46274590603033533,-0.4780519735885075,-0.5313336852187723
1592353496.8461087,0.0006448821357029454,9.656937586476705e-06,-5.619595977586378e-05,0.5248266516639066,0.4626666073283,-0.4776557356541645,-0.5313576356030201
1592353496.8561087,0.0006489144441577512,8.752681404909912e-06,-5.717821683900066e-05,0.5250997384446418,0.4625296339497383,-0.477375761102207,-0.5314593687691695
1592353496.8661087,0.0006502965539945169,8.404289914402016e-06,-5.717171288130314e-05,0.5251818033668104,0.46237350011795686,-0.47733142693448355,-0.5315536572357775
1592353496.8761086,0.0006497215646718017,8.393152391415077e-06,-5.717278335709629e-05,0.5251246443058152,0.46220284194960076,-0.47745190903215523,-0.531650879417902
1592353496.8861086,0.0006493073018845842,7.839269684908435e-06,-5.716783526835643e-05,0.5249680587335755,0.46205397810738136,-0.47766058227394953,-0.5317474724575971
1592353496.8961086,0.0006478186958246528,6.356029319644118e-06,-5.715536783891191e-05,0.5247749165847752,0.46196055732477587,-0.4778945941943296,-0.5318090681038806
1592353496.9061086,0.0006458844504992711,4.331133231441585e-06,-5.7629175075607854e-05,0.5245824268079551,0.4619513290354258,-0.47810868116967076,-0.5318144730055935
