time,x,y,z,q,x,y,z
1592330971.0069525,-0.21253115699278863,0.022071820629344593,0.019899609478279404,0.47948605475488165,0.49176633470591724,-0.5216335599020712,-0.5061197727449702
1592330971.0169525,-0.21253563169584164,0.022071883253951857,0.01989836612974013,0.4794514704932452,0.4918170316657856,-0.5217452604353158,-0.505987987045815
1592330971.0269525,-0.21254054433364442,0.02207194569422722,0.019895404377677825,0.47931008648852935,0.49196979279052294,-0.5218192666624675,-0.505897194599191
1592330971.0369525,-0.21254507972970976,0.02207201032810513,0.019894437506277937,0.47921856605637786,0.4920646277392768,-0.5219435890522568,-0.5057636357651247
1592330971.0469525,-0.2125480502736386,0.022072048042003977,0.019892635962745008,0.4791125300974494,0.4921721464074231,-0.5220295726208796,-0.5056702656315567
1592330971.0569525,-0.2125500258669517,0.02207207338308501,0.019891503338589252,0.4790416568494296,0.49224020742711505,-0.5221131075554896,-0.5055848924445104
1592330971.0669525,-0.21255200119752518,0.02207209935973587,0.01989053246053542,0.47897972172548176,0.4923019491764784,-0.5221873879738649,-0.5055067217254817
1592330971.0769525,-0.21255497641288776,0.022072140434740047,0.019889563147360217,0.4788944856399943,0.4923821796590528,-0.5222673429066704,-0.505426824443806
1592330971.0869524,-0.21255694725070795,0.02207216261757615,0.019887649919527083,0.47881478004114275,0.4924564780936081,-0.5223371683319071,-0.5053575219063919
1592330971.0969524,-0.21255892262355439,0.022072188491968046,0.01988665301759979,0.47873589907781827,0.49254002411365744,-0.5224241265250231,-0.5052609246806596
1592330971.1069524,-0.2125608979959146,0.022072214368017474,0.019885656536738558,0.47865101810599076,0.49262198189400924,-0.5225019852625656,-0.5051810164217125
1592330971.1169524,-0.21256186760315154,0.02207222518120278,0.019884689914379892,0.47858496824783725,0.49267825767665807,-0.5225708703775233,-0.5051179682478373
1592330971.1269524,-0.2125638427390019,0.022072251155682062,0.019883719230449695,0.4785584094542638,0.4927045905457362,-0.5226135376633434,-0.5050725208301229
1592330971.1369524,-0.2125677349556953,0.02207230212356981,0.01988175135893307,0.4785106200448143,0.4927428025430589,-0.5226858728497377,-0.5050068735975383
1592330971.1469524,-0.21257068270512935,0.022072346300684564,0.019881671455310057,0.47842263762585374,0.49282369399919645,-0.5227842518324628,-0.5049096376258537
1592330971.1569524,-0.21257551165578698,0.022071411744231457,0.0198798195206491,0.47832541859221456,0.49292862544724286,-0.5228887620130347,-0.5047906036448833
