time,x,y,z,q,x,y,z
1592273094.7086673,-0.3722832474681905,-0.0014242838998061464,-0.005256381942009369,0.05582,0.054318994601817945,-0.7112222668693189,-0.6986389838054539
1592273094.7186673,-0.3722832474681905,-0.0014242838998061464,-0.005256381942009369,0.055834082527969106,0.05430602426755584,-0.7111673009664371,-0.6986944223346816
1592273094.7286673,-0.3722830957219457,-0.0014232954811783608,-0.005256380640694125,0.0559898962843918,0.05415579681738565,-0.7110895035217922,-0.6987734964782077
1592273094.7386672,-0.3722816797255047,-0.0014228398483833466,-0.0052563799992123,0.056303132048724454,0.05390776012023508,-0.710987738554027,-0.6988709353013758
1592273094.7486672,-0.37227076849474405,-0.0014202222453730707,-0.005258011606672027,0.056596483463624545,0.05390676885923373,-0.7108905957635816,-0.6989458735786482
1592273094.7586672,-0.37223929835234965,-0.001411731401865324,-0.005259971276387118,0.05690253788712769,0.0541225021045136,-0.7107114982781252,-0.6990871442783728
1592273094.7686672,-0.3721918355915942,-0.0013924803521383807,-0.005262918533890453,0.05725399632883038,0.05448213218539386,-0.7104083017929564,-0.6993378453613049
1592273094.7786672,-0.37213214423345675,-0.0013632805904145102,-0.005266962580228647,0.05764013594111725,0.05492189538974838,-0.7100133210207932,-0.6996724706156077
1592273094.7886672,-0.3720660807494169,-0.0013237686470552433,-0.005271830637380021,0.05804116589166139,0.05536534039802917,-0.7095655488296836,-0.7000590495540829
1592273094.7986672,-0.37199236009862163,-0.0012765887982950988,-0.005277688399787197,0.05847917632323915,0.05578814572037765,-0.7090536645418811,-0.7005072375289622
1592273094.8086672,-0.3718982565969157,-0.001216984787230379,-0.005281572303257532,0.05892153549552782,0.056190990849057994,-0.7084936944689728,-0.701004131782729
1592273094.8186672,-0.37176248857355076,-0.0011392792313566426,-0.005281547003129085,0.059366002468895195,0.0565180782560809,-0.7079212933667327,-0.7015191369481416
1592273094.8286672,-0.37157594356670204,-0.0010593201151891942,-0.005275367544420002,0.05965135503003967,0.05682980487898418,-0.7073743659964519,-0.7020210926554906
1592273094.8386672,-0.37134580438831016,-0.0009930758575112289,-0.005255893200326154,0.05974282118098279,0.05722266315941102,-0.7068650521166577,-0.7024944820295665
1592273094.8486671,-0.3710847751192232,-0.0009472768782582047,-0.005217859769404992,0.059645132952842045,0.05776405040440562,-0.7064294338562416,-0.7028963981932008
1592273094.8586671,-0.3707924520132899,-0.0009182771706133958,-0.005164264518682914,0.05934326995736391,0.058357543846851684,-0.7060830034016542,-0.7032212212732658
1592273094.8686671,-0.3704742187828986,-0.0008963997077259886,-0.005103426356270898,0.058942568048573785,0.058993320549741324,-0.7057817320005536,-0.7035041213887111
1592273094.878667,-0.3701304419343817,-0.0008762817967781957,-0.005035398882162756,0.05854070609978401,0.05973601357281087,-0.7054381612621845,-0.703818957803036
1592273094.888667,-0.3697579295556866,-0.0008595867112199597,-0.004954007052086144,0.058121450706348485,0.06059472089995973,-0.7050621001995956,-0.7041572503071574
1592273094.898667,-0.36933518964298095,-0.0008452859767036823,-0.004851767564755818,0.057687369489047534,0.06155359421774729,-0.7046290110941981,-0.7045427953973317
1592273094.908667,-0.36885624672928863,-0.0008406939254082462,-0.004729394266675222,0.057275870734948255,0.06261465675594394,-0.7041717103235491,-0.7049403343732583
1592273094.918667,-0.36831503810480737,-0.0008507946160948244,-0.0045928993674011365,0.056848833556403355,0.06378482819576092,-0.7036757890970102,-0.7053646483470772
1592273094.928667,-0.36770176248379816,-0.0008801549054966131,-0.004444498483042383,0.056195956588656254,0.06522603398129735,-0.7031830379677101,-0.7057764816209932
1592273094.938667,-0.36699662470671734,-0.0009359990674696012,-0.004271270756485031,0.055280746542540955,0.06717317975806784,-0.702663097175007,-0.7061849398838914
